38.36,616.0,251.1,5424,598.14,325.0,4.6056,16454,193.2,1006.0
38.4,624.4,252.6,5625,610.47,327.8,4.6134,16060,197.8,1050.0
37.8,623.2,256.4,5643,594.9,330.0,4.635,15400,194.5,1041.2
36.84,638.4,256.14,5661,593.55,329.0,4.6434,15670,192.5,1030.8
37.52,634.8,256.4,5655,589.05,331.0,4.656,15508,190.9,1045.6
38.64,628.8,254.22,5700,578.79,354.1,4.6428,15688,185.8,976.0
36.48,634.4,253.4,5700,578.79,352.0,4.6572,15760,185.5,988.0
36.72,637.6,254.3,5661,580.05,349.0,4.638,15976,185.0,979.4
37.64,641.6,255.4,5676,594.0,345.0,4.6302,15860,184.0,986.0
37.52,644.8,254.1,5604,587.7,344.0,4.644,15938,184.5,1028.0
37.88,649.2,255.5,5715,582.75,344.0,4.6476,15410,183.2,1012.0
38.08,652.0,258.0,5697,574.2,348.2,4.6518,15500,183.5,1002.0
41.0,655.6,258.6,5754,579.6,352.0,4.6572,15764,178.5,988.8
40.24,656.8,258.86,5754,572.85,347.0,4.671,15780,178.7,976.4
39.88,657.2,260.6,5805,585.9,336.2,4.6752,15734,180.2,983.2
41.2,653.6,260.2,5703,582.21,345.5,4.6788,15738,180.5,994.4
41.12,652.4,258.4,5613,563.4,341.0,4.6806,15744,180.3,1008.0
40.84,652.0,260.5,5466,556.2,336.2,4.6806,15692,183.3,1004.0
41.68,652.4,260.7,5385,558.9,330.6,4.686,15786,192.0,1008.8
39.68,629.6,260.4,5319,554.4,335.0,4.692,15680,193.0,1022.8
38.64,627.2,263.1,5238,554.85,334.2,4.6962,15496,193.6,1035.2
35.4,639.6,266.8,5241,561.6,335.0,4.695,15584,192.0,1025.4
35.6,642.0,265.8,5244,562.41,345.6,4.6884,15636,191.0,1023.0
33.88,649.2,267.0,5154,553.95,344.0,4.7076,15548,194.0,1012.4
35.68,649.2,270.0,5166,564.3,338.6,4.713,15592,192.5,1012.8
34.2,655.2,273.6,5184,559.8,336.0,4.7334,15540,191.4,992.0
